,description
466,"{'min_years_of_experience': 0, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'statistical tools', 'business reporting', 'problem solving', 'critical thinking', 'attention to detail', 'communication', 'prioritizing', 'multitasking']}"
467,"{'min_years_of_experience': 3, 'min_hourly_salary': 35, 'max_hourly_salary': 45, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Tableau', 'SQL', 'Python', 'Excel', 'Google Analytics', 'Adobe Analytics', 'data visualization', 'data analysis']}"
468,"{'min_years_of_experience': 0, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 51975, 'max_yearly_salary': 83600, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['attention to detail', 'multi-task', 'communication skills', 'organizational skills', 'collaboration', 'analytical skills', 'Microsoft Office', 'judgment', 'banking regulations']}"
469,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analytics', 'communication', 'teamwork', 'problem solving', 'Microsoft Office', 'multi-tasking', 'detail oriented']}"
470,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math', 'communication']}"
471,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['digital analytics', 'data analysis', 'website testing', 'social media performance', 'communication']}"
472,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['data science', 'data analysis', 'communication', 'teamwork', 'machine learning']}"
473,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['photo collection', 'camera usage']}"
474,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 80000, 'max_yearly_salary': 141000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'communication', 'organizational skills', 'agile environment', 'collaborative', 'SQL']}"
475,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['forensic data collection', 'forensic analysis', 'project scope coordination', 'forensic tools', 'Mac/Windows filesystems', 'data preservation', 'communication skills', 'organizational skills', 'forensic workflows', 'troubleshooting skills', 'data manipulation']}"
476,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 121000, 'max_yearly_salary': 157000, 'required_degree': 'MS', 'remote_work': True, 'required_skills': ['data analysis', 'statistical modeling', 'regression', 'unstructured data', 'deep learning', 'Generative AI', 'R', 'Python', 'Google Vertex', 'BigQuery', 'LLM platforms', 'data visualization', 'Power BI', 'Tableau']}"
477,"{'min_years_of_experience': 6, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 81250, 'max_yearly_salary': 181250, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analytics', 'data mining', 'data visualization', 'SQL', 'Excel', 'statistical analysis', 'technical writing', 'mathematical modeling', 'communication']}"
478,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 91200, 'max_yearly_salary': 185000, 'required_degree': None, 'remote_work': False, 'required_skills': ['data engineering', 'SQL', 'Python', 'big data', 'ETL']}"
479,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['Python', 'R', 'SQL', 'machine learning', 'data manipulation', 'data analysis', 'model building', 'predictive analytics', 'deep learning', 'data preprocessing', 'model evaluation', 'cloud computing', 'data visualization', 'Pandas', 'Matplotlib', 'Tableau']}"
480,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data mining', 'data visualization', 'business intelligence', 'data modeling', 'Agile', 'Scrum']}"
481,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['intelligence analysis', 'data entry', 'research', 'communication', 'geospatial intelligence', 'Microsoft Office', 'presentation skills']}"
482,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['product analytics', 'web analytics', 'customer care analytics', 'SQL', 'A/B testing', 'Tableau', 'Excel', 'Salesforce', 'programming languages', 'stats packages', 'Python', 'R', 'machine learning']}"
483,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data management', 'data analysis', 'reporting', 'SQL', 'Excel', 'Tableau', 'Power BI', 'R', 'Python', 'data cleaning', 'data preparation', 'data integrity', 'communication', 'collaboration']}"
484,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['Java', 'Software Development', 'Core Java', 'JavaScript', 'C++', 'Spring Boot', 'Microservices', 'Docker', 'Jenkins', 'REST APIs', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'Data Visualization', 'NLP', 'Text Mining', 'Tableau', 'PowerBI', 'Time Series Analysis']}"
485,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 160000, 'max_yearly_salary': 180000, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data visualization', 'programming', 'communication']}"
486,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'Undergraduate degree preferred', 'remote_work': False, 'required_skills': ['data entry', 'communication', 'document review', 'attention to detail', 'organization', 'Microsoft Office', 'customer service', 'teamwork']}"
487,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math', 'clear writing', 'English']}"
488,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math expertise', 'English fluency']}"
489,"{'min_years_of_experience': None, 'min_hourly_salary': 26, 'max_hourly_salary': 26, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['data analytics', 'Python', 'R', 'Google Cloud Platform', 'Linux', 'SQL', 'Microsoft Office Suite', 'data interpretation', 'problem solving', 'business analysis', 'communication', 'interpersonal skills']}"
490,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math expertise', 'factuality assessment', 'clear writing']}"
491,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math', 'AI training', 'English communication']}"
492,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Analytical Skills', 'Interpersonal Skills', 'Payroll Knowledge', 'Denmark Payroll Knowledge', 'Computer Knowledge', 'MS Office', 'Excel']}"
493,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math', 'evaluation', 'question crafting', 'clear writing']}"
494,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math', 'AI training', 'clear writing', 'English fluency']}"
495,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math', 'AI', 'English']}"
496,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math', 'AI', 'Evaluation', 'Assessment']}"
497,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 85000, 'max_yearly_salary': 141600, 'required_degree': 'PhD', 'remote_work': True, 'required_skills': ['data science', 'statistical modeling', 'data mining', 'machine learning', 'equities trading', 'options trading', 'market structure', 'Python', 'SQL', 'JavaScript', 'AWS', 'analytics', 'data visualization', 'communication']}"
498,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math expertise', 'Factuality assessment', 'Question crafting', 'English fluency']}"
499,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math', 'AI']}"
500,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 79700, 'max_yearly_salary': 111300, 'required_degree': None, 'remote_work': True, 'required_skills': ['Excel', 'Microsoft Office', 'communication', 'analytical', 'troubleshooting', 'detail-oriented']}"
501,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'business acumen', 'financial analysis', 'operational analysis', 'Microsoft technologies', 'AI implementation', 'data automation', 'documentation', 'process improvement', 'data insights', 'technical support', 'T-SQL', 'PL/SQL', 'communication']}"
502,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 72000, 'max_yearly_salary': 85000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['analytical skills', 'problem solving', 'Microsoft Excel', 'communication skills', 'organizational skills', 'team environment', 'proactive mentality', 'confidentiality', 'portfolio management', 'data analysis']}"
503,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 87027, 'max_yearly_salary': 138965, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'SQL', 'Tableau', 'Business Objects', 'metrics', 'CRM tools', 'analytical skills', 'project management', 'communication', 'interpersonal skills']}"
504,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 55000, 'max_yearly_salary': 65000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'Google Scripts', 'Microsoft Excel', 'Google Sheets', 'SQL Developer', 'communication']}"
505,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'analytical skills', 'statistical modeling', 'SQL', 'data visualization']}"
506,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['SQL', 'data visualization', 'analytics', 'python', 'ML models', 'communication']}"
507,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math', 'Assessment', 'Evaluation']}"
508,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 65000, 'max_yearly_salary': 85000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Data Manipulation Software', 'SQL', 'Python', 'Pandas', 'Data Analysis', 'Data Visualization', 'Project Management']}"
